PK,SK,ship,day,date,stw_raw,stw_corrected,baseline_stw,speed_loss_pct,timestamp
SHIP#S1,DAY#0,S1,0,2020-01-01T00:00:00,14.68,13.64,13.23,3.07,1577808000
SHIP#S1,DAY#0,S1,0,2020-01-01T00:00:00,14.68,13.64,13.23,3.07,1577808000
SHIP#S1,DAY#3,S1,3,2020-01-04T00:00:00,18.25,17.41,13.23,31.59,1578067200
SHIP#S1,DAY#6,S1,6,2020-01-07T00:00:00,18.88,18.04,13.23,36.35,1578326400
SHIP#S1,DAY#7,S1,7,2020-01-08T00:00:00,18.35,17.51,13.23,32.34,1578412800
SHIP#S1,DAY#8,S1,8,2020-01-09T00:00:00,18.09,17.25,13.23,30.38,1578499200
SHIP#S1,DAY#12,S1,12,2020-01-13T00:00:00,9.83,9.01,13.23,-31.94,1578844800
SHIP#S1,DAY#34,S1,34,2020-02-04T00:00:00,13.63,12.95,13.23,-2.14,1580745600
SHIP#S1,DAY#38,S1,38,2020-02-08T00:00:00,12.96,12.06,13.23,-8.85,1581091200
SHIP#S1,DAY#41,S1,41,2020-02-11T00:00:00,12.75,11.86,13.23,-10.38,1581350400
SHIP#S1,DAY#42,S1,42,2020-02-12T00:00:00,5.0,4.11,13.23,-68.96,1581436800
SHIP#S1,DAY#45,S1,45,2020-02-15T00:00:00,10.64,9.53,13.23,-27.97,1581696000
SHIP#S1,DAY#46,S1,46,2020-02-16T00:00:00,11.17,10.06,13.23,-23.97,1581782400
SHIP#S1,DAY#47,S1,47,2020-02-17T00:00:00,11.12,10.01,13.23,-24.34,1581868800
SHIP#S1,DAY#48,S1,48,2020-02-18T00:00:00,11.04,9.93,13.23,-24.95,1581955200
SHIP#S1,DAY#49,S1,49,2020-02-19T00:00:00,11.17,10.06,13.23,-23.97,1582041600
SHIP#S1,DAY#50,S1,50,2020-02-20T00:00:00,11.64,10.53,13.23,-20.41,1582128000
SHIP#S1,DAY#51,S1,51,2020-02-21T00:00:00,11.08,9.97,13.23,-24.65,1582214400
SHIP#S1,DAY#52,S1,52,2020-02-22T00:00:00,11.21,10.1,13.23,-23.66,1582300800
SHIP#S1,DAY#53,S1,53,2020-02-23T00:00:00,11.44,10.33,13.23,-21.92,1582387200
SHIP#S1,DAY#54,S1,54,2020-02-24T00:00:00,12.42,11.31,13.23,-14.52,1582473600
SHIP#S1,DAY#55,S1,55,2020-02-25T00:00:00,12.79,11.69,13.23,-11.66,1582560000
SHIP#S1,DAY#56,S1,56,2020-02-26T00:00:00,13.17,12.06,13.23,-8.85,1582646400
SHIP#S1,DAY#67,S1,67,2020-03-08T00:00:00,16.73,15.96,13.23,20.61,1583596800
SHIP#S1,DAY#68,S1,68,2020-03-09T00:00:00,14.74,13.97,13.23,5.57,1583683200
SHIP#S1,DAY#77,S1,77,2020-03-18T00:00:00,11.54,10.7,13.23,-19.16,1584460800
SHIP#S1,DAY#78,S1,78,2020-03-19T00:00:00,9.63,8.84,13.23,-33.21,1584547200
SHIP#S1,DAY#92,S1,92,2020-04-02T00:00:00,16.75,15.7,13.23,18.66,1585756800
SHIP#S1,DAY#92,S1,92,2020-04-02T00:00:00,18.91,17.86,13.23,34.99,1585756800
SHIP#S1,DAY#93,S1,93,2020-04-03T00:00:00,18.79,17.74,13.23,34.08,1585843200
SHIP#S1,DAY#95,S1,95,2020-04-05T00:00:00,18.33,17.35,13.23,31.17,1586016000
SHIP#S1,DAY#96,S1,96,2020-04-06T00:00:00,17.96,16.98,13.23,28.37,1586102400
SHIP#S1,DAY#97,S1,97,2020-04-07T00:00:00,17.7,16.72,13.23,26.41,1586188800
SHIP#S1,DAY#98,S1,98,2020-04-08T00:00:00,17.91,16.93,13.23,28.0,1586275200
SHIP#S1,DAY#99,S1,99,2020-04-09T00:00:00,11.92,10.95,13.23,-17.28,1586361600
SHIP#S1,DAY#100,S1,100,2020-04-10T00:00:00,11.17,10.2,13.23,-22.95,1586448000
SHIP#S1,DAY#104,S1,104,2020-04-14T00:00:00,20.0,19.2,13.23,45.13,1586793600
SHIP#S1,DAY#105,S1,105,2020-04-15T00:00:00,18.92,18.12,13.23,36.96,1586880000
SHIP#S1,DAY#108,S1,108,2020-04-18T00:00:00,11.35,10.85,13.23,-17.99,1587139200
SHIP#S1,DAY#108,S1,108,2020-04-18T00:00:00,11.17,10.67,13.23,-19.35,1587139200
SHIP#S1,DAY#109,S1,109,2020-04-19T00:00:00,11.35,10.85,13.23,-17.99,1587225600
SHIP#S1,DAY#110,S1,110,2020-04-20T00:00:00,8.57,8.07,13.23,-38.97,1587312000
SHIP#S1,DAY#119,S1,119,2020-04-29T00:00:00,19.54,18.74,13.23,41.62,1588089600
SHIP#S1,DAY#123,S1,123,2020-05-03T00:00:00,12.13,11.19,13.23,-15.46,1588435200
SHIP#S1,DAY#124,S1,124,2020-05-04T00:00:00,10.5,9.55,13.23,-27.78,1588521600
SHIP#S1,DAY#127,S1,127,2020-05-07T00:00:00,17.8,16.69,13.23,26.12,1588780800
SHIP#S1,DAY#128,S1,128,2020-05-08T00:00:00,17.78,16.67,13.23,25.97,1588867200
SHIP#S1,DAY#129,S1,129,2020-05-09T00:00:00,17.6,16.5,13.23,24.69,1588953600
SHIP#S1,DAY#129,S1,129,2020-05-09T00:00:00,17.6,16.5,13.23,24.69,1588953600
SHIP#S1,DAY#134,S1,134,2020-05-14T00:00:00,20.0,18.88,13.23,42.72,1589385600
SHIP#S1,DAY#136,S1,136,2020-05-16T00:00:00,17.5,16.38,13.23,23.82,1589558400
SHIP#S1,DAY#144,S1,144,2020-05-24T00:00:00,14.3,13.52,13.23,2.19,1590249600
SHIP#S1,DAY#154,S1,154,2020-06-03T00:00:00,11.37,10.57,13.23,-20.13,1591113600
SHIP#S1,DAY#162,S1,162,2020-06-11T00:00:00,15.34,14.24,13.23,7.61,1591804800
SHIP#S1,DAY#162,S1,162,2020-06-11T00:00:00,15.4,14.3,13.23,8.06,1591804800
SHIP#S1,DAY#169,S1,169,2020-06-18T00:00:00,14.16,13.19,13.23,-0.35,1592409600
SHIP#S1,DAY#170,S1,170,2020-06-19T00:00:00,14.0,13.03,13.23,-1.54,1592496000
SHIP#S1,DAY#171,S1,171,2020-06-20T00:00:00,15.4,14.43,13.23,9.04,1592582400
SHIP#S1,DAY#172,S1,172,2020-06-21T00:00:00,6.0,5.03,13.23,-61.99,1592668800
SHIP#S1,DAY#175,S1,175,2020-06-24T00:00:00,19.5,18.72,13.23,41.49,1592928000
SHIP#S1,DAY#176,S1,176,2020-06-25T00:00:00,19.0,18.22,13.23,37.71,1593014400
SHIP#S1,DAY#195,S1,195,2020-07-14T00:00:00,14.9,14.08,13.23,6.41,1594656000
SHIP#S1,DAY#196,S1,196,2020-07-15T00:00:00,11.0,10.18,13.23,-23.05,1594742400
SHIP#S1,DAY#208,S1,208,2020-07-27T00:00:00,19.2,18.15,13.23,37.18,1595779200
SHIP#S1,DAY#211,S1,211,2020-07-30T00:00:00,19.8,18.76,13.23,41.75,1596038400
SHIP#S1,DAY#214,S1,214,2020-08-02T00:00:00,19.7,18.67,13.23,41.1,1596297600
SHIP#S1,DAY#216,S1,216,2020-08-04T00:00:00,14.2,13.25,13.23,0.18,1596470400
SHIP#S1,DAY#222,S1,222,2020-08-10T00:00:00,11.8,11.02,13.23,-16.72,1596988800
SHIP#S1,DAY#231,S1,231,2020-08-19T00:00:00,10.9,10.04,13.23,-24.08,1597766400
SHIP#S1,DAY#232,S1,232,2020-08-20T00:00:00,11.3,10.48,13.23,-20.78,1597852800
SHIP#S1,DAY#239,S1,239,2020-08-27T00:00:00,15.4,14.41,13.23,8.91,1598457600
