ship_id,event_type,event_date,propeller_condition,hull_fouling_type,hull_coating_condition,cavitation_found,draft_fwd_m,draft_aft_m
S1,DD,2023-09-10,,,,,,
S1,UWI+PP,2024-10-19,,"barnacle,slime,algae",Good,,13.6,13.8
S1,UWI+PP,2024-12-10,,,,,,
S1,PP,2025-04-11,Good,slime,,No,10.8,12.0
S1,UWI+PP,2025-12-11,Good,"algae,barnacle,slime,calcium",,Yes,12.1,13.0
S2,DD,2023-09-14,,,,,,
S2,UWI+PP,2024-05-04,,,,,10.6,11.8
S2,UWI,2025-04-18,,,,,9.2,11.0
S2,UWI+PP,2025-08-21,Good,"barnacle,slime,algae",Good,,12.5,13.0
S3,DD,2023-02-10,,,,,,
S3,PP,2024-03-13,Good,"slime,calcium",,No,,14.0
S3,PP,2024-09-17,Fair,,,,,
S3,UWI+PP,2025-01-19,Good,"barnacle,slime",,,10.4,10.8
S3,UWI,2025-04-23,,"barnacle,slime,algae,calcium",Good,No,13.0,13.5
S3,PP,2025-09-01,Good,,,,12.0,13.0
S4,UWC,2021-05-29,Fair,"slime,algae,barnacle",Good,Yes,13.0,13.2
S4,DD,2023-04-16,,,,,,
S4,UWI+PP,2024-06-03,Good,"slime,barnacle,calcium",,Yes,13.8,14.0
S4,UWI+PP,2025-01-08,Good,,,,,12.0
S4,PP,2025-09-06,Fair,"slime,barnacle,calcium",,Yes,13.6,14.1
S5,DD,2023-04-01,,,,,,
S5,UWI+PP,2024-06-22,Good,"slime,calcium",,No,13.8,14.2
S5,UWI+PP,2025-01-30,Good,,,No,10.8,11.6
S5,UWI,2025-05-28,Good,"barnacle,slime,algae",Good,,13.5,
S6,PP,2021-07-17,Good,"slime,barnacle",,Yes,,
S6,DD,2023-05-14,,,,,,
S6,UWI+PP,2024-04-24,Fair,"slime,calcium",,No,,14.0
S6,UWI+PP,2025-05-13,Good,"barnacle,slime,algae",Good,No,8.8,10.0
S7,UWI,2022-01-10,Good,"barnacle,slime",Fair,,11.8,10.5
S7,DD,2023-05-12,,,,,,
S7,UWI+PP,2024-07-25,Good,"barnacle,slime",Good,No,13.4,14.6
S7,PP,2025-02-11,Good,slime,,No,14.2,14.2
S7,UWI,2025-06-05,Good,"barnacle,slime",Good,No,8.8,11.8
S7,PP,2025-10-24,Good,slime,,Yes,11.6,12.0
S8,UWC+PP,2021-09-29,Good,"barnacle,slime,algae",Good,Yes,11.4,12.0
S8,DD,2023-03-16,,,,,,
S8,UWI+PP,2024-05-04,,,,,,
S8,UWI+PP,2024-06-25,,"barnacle,slime",Fair,,13.0,13.8
S8,UWI,2025-05-05,Good,"barnacle,slime",Good,No,9.0,11.6
S8,PP,2025-06-23,Good,,,No,,
S9,UWI+PP,2023-04-06,Good,"barnacle,slime,algae",Good,No,11.2,12.4
S9,UWI+PP,2024-07-10,,,,,14.2,14.8
S9,UWI+PP,2025-02-19,Good,slime,,No,9.0,12.6
S9,UWC,2025-02-22,,"algae,slime,barnacle,tubeworm",,,,
S10,UWI,2023-04-22,Good,"barnacle,slime",Good,No,10.3,9.5
S10,PP,2023-07-24,Poor,,,Yes,12.4,12.6
S10,UWC+PP,2024-05-10,Good,"barnacle,slime,algae",Good,No,13.6,13.8
S10,UWC,2024-07-30,,,,,,
S10,UWI+PP,2025-04-13,Good,"barnacle,slime",Good,No,12.2,14.6
S11,UWC+PP,2022-07-26,Poor,"barnacle,slime,algae",,,11.4,12.2
S11,UWI,2023-04-24,,"slime,barnacle",Good,No,10.8,7.6
S11,UWI+PP,2023-11-06,Good,"barnacle,slime,algae,calcium",,No,12.0,12.0
S11,UWC,2024-02-08,Good,"slime,algae,barnacle",Good,No,7.6,11.0
S11,UWI+PP,2024-06-13,,"slime,algae,calcium",,,13.0,14.0
S11,UWI+PP,2025-01-16,Poor,,,,,12.5
S11,UWI+PP,2025-09-07,Good,"barnacle,slime,algae,tubeworm",,,10.8,11.8
S12,UWI,2023-05-30,,"barnacle,slime,calcium",Good,No,11.5,13.0
S12,UWC+PP,2024-03-14,Poor,"barnacle,slime,algae,calcium",Good,No,10.5,11.5
S12,UWC,2024-07-30,,,,,,
S12,UWI+PP,2024-08-05,,,,,,
S12,UWI+PP,2025-01-27,,,,,,
S12,UWI,2025-04-23,,"barnacle,slime,algae,calcium",Good,Yes,14.5,
S12,UWC+PP,2025-07-04,Good,"barnacle,algae",,Yes,11.4,12.8
S21,UWC+PP,2021-05-16,Good,"barnacle,slime,algae",Good,Yes,12.5,13.2
S21,DD,2023-08-10,,,,,,
S21,UWI,2023-10-01,,,,,,
S21,UWI+PP,2024-10-16,,,,,,
S21,UWI+PP,2025-06-07,Good,"barnacle, slime, algae",,,12.0,13.0
S21,PP,2025-10-28,Fair,slime,,No,12.8,12.8
S22,DD,2023-06-30,,,,,,
S22,UWI+PP,2024-04-21,,,,,,11.4
S22,UWI+PP,2025-08-07,Good,"barnacle,slime,algae",Fair,,,13.6
S23,UWI,2023-02-11,Good,"barnacle,slime,calcium",,No,,
S23,UWI+PP,2024-07-29,Good,"barnacle,algae",Good,No,13.5,14.4
S23,UWC+PP,2025-01-23,,"slime, algae, barnacle",Good,,,
S23,UWC,2025-03-17,,"slime,algae",Good,,10.6,11.8
S23,UWI+PP,2025-07-17,Good,"barnacle,slime,algae",,,13.0,14.0
