De-identification Name,VOYAGE,NOON_UTC,AVG_SPEED,SPEED_THROUGH_WATER,ME_AVG_RPM,PROPELLER_SPEED,FORE_DRAFT,AFTER_DRAFT,DISPLACEMENT,CARGO_ON_BOARD,WIND_SCALE,SEA_HEIGHT,SEA_WATER_TEMP,WIND_SPEED,WIND_DIRECTION,SWELL_HEIGHT,SWELL_DIRECTION,SEA_DIRECTION,WATER_DEPTH,MID_DRAFT,TOTAL_DISTANCE,SEA_SPEED_DISTANCE,DIFF_STW_SOG_SLIP,FULL_SPD_STW_SLIP,HORSE_POWER,LOAD_PCT,SFOC,ME_SLIP,THRUST,THRUST_QUOTIENT,TOTAL_CONSUMP,ME_CONSUMPTION,ME_FULLSPEED_CONSUMP_HSHFO,ME_FULLSPEED_CONSUMP_ULSFO,ME_FULLSPEED_CONSUMP_VLSFO,ME_FULLSPEED_CONSUMP_LSMGO,ME_FULLSPEED_CONSUMP_BIO_HSFO,HOURS_FULL_SPEED,HOURS_TOTAL,SPEED_LOSS
S1,28,0,14.4,14.68,51.8,16.61,14.9,15,,91791,3,,,,12,,,,20,,329,317,,,13295,,,13.23,0,,66.05,,0,0,51.09,0,,22,24,2.39
S1,28,0,14.4,14.68,51.8,16.61,14.9,15,,91791,3,,,,12,,,,20,,329,317,,,13295,,,13.2,0,,66.05,,0,0,51.09,0,,22,24,2.39
S1,28,2,17.8,18.07,63,20.18,14.8,14.9,,91661,6,,,,6,,,,225,,357,351,,,23868,,,11.71,2337,,93.51,,0,0,80.3,0,,19.7,24,
S1,28,2,17.8,18.07,63,20.18,14.8,14.9,,91661,6,,,,6,,,,225,,357,351,,,23868,,,11.7,2337,,93.51,,0,0,80.3,0,,19.7,24,
S1,28,3,17.5,18.25,64.7,20.72,13.6,13.6,,91661,3,,,,3,,,,1200,,419,419,,,26898,,,15.75,2280,,122.69,,0,0,111.47,0,,24,24,-25.26
S1,28,3,18.1,18.83,65.1,20.84,13.6,13.6,,91661,5,,,,1,,,,1550,,416,416,,,26633,,,13.22,2315,,116.23,,0,0,105.18,0,,23,23,
S1,28,4,18.3,18.46,64.3,20.61,13.6,13.6,,91661,6,,,,1,,,,4200,,438,438,,,26195,,,11.44,2391,,119.83,,0,0,108.75,0,,24,24,
S1,28,5,18.6,18.87,64.6,20.67,13.6,13.6,,91661,6,,,,0,,,,4200,,428,428,,,26078,,,9.99,2316,,113.96,,0,0,103.85,0,,23,23,
S1,28,6,18.8,18.88,64.3,20.6,13.6,13.6,,91661,2,,,,6,,,,2600,,451,451,,,25636,,,8.76,3629,,118.26,,0,0,107.31,0,,24,24,-29.79
S1,28,7,17.4,18.35,62.5,20.01,13.6,13.6,,91661,3,,,,0,,,,3300,,400,400,,,23571,,,13.11,1986,,105.4,,0,0,95.11,0,,23,23,-25.97
S1,28,8,17.7,18.09,62.3,19.95,13.6,13.6,,91661,3,,,,8,,,,3800,,408,408,,,23555,,,11.06,2133,,106.16,,0,0,95.96,0,,23,23,-24.1
S1,28,9,17.9,17.93,61.2,19.61,13.5,13.5,,91661,3,,,,2,,,,1400,,389,389,,,23302,,,8.6,0,,100.24,,0,0,89.04,0,,21.7,24,
S1,28,10,14.4,12.18,45.3,14.5,13.5,13.5,,91661,6,,,,2,,,,800,,105,65,,,12116,,,0.37,1863,,26.36,,0,0,9.82,0,,4.5,23,
S1,28,11,10.4,11.5,41.8,13.39,13.5,13.5,,91661,5,,,,1,,,,86,,249,249,,,9409,,,22.49,1463,,52.01,,0,0,40.2,0,,24,24,
S1,28,12,9.5,9.83,35.2,11.27,13.5,13.5,,91661,2,,,,3,,,,50,,228,228,,,5871,,,15.71,1236,,40.29,,0,0,26.49,0,,24,24,35.21
S1,28,13,10.1,8.4,36,11.54,13.5,13.5,,91661,3,,,,2,,,,35,,237,216,,,6977,,,12.96,0,,45.88,,0,0,30.63,0,,21.5,24,
S1,28,15,18.8,19.57,69.9,22.4,12,12.6,,71876,6,,,,2,,,,90,,271,263,,,36283,,,16.12,3450,,109.1,,0,0,87.4,0,,14,24,
S1,28,16,19.6,19.83,70.6,22.62,12,12.6,,71876,8,,,,15,,,,2500,,471,471,,,38892,,,13.25,3364,,162.55,,0,0,154.21,0,,24,24,
S1,28,17,18.6,18.79,67.5,21.61,12,12.6,,71876,5,,,,1,,,,1100,,447,447,,,33916,,,13.81,4280,,142.93,,0,0,134.35,0,,24,24,
S1,28,18,18.6,18.42,65.6,21.02,12,12.6,,71876,7,,,,2,,,,3300,,446,446,,,32723,,,11.57,3259,,140.54,,0,0,132.55,0,,24,24,
S1,28,19,17.5,0,60.8,19.47,11.5,11.7,,0,2,,,,12,,,,0,,180,180,,,29106,,,10.22955571,0,,66.91,,0,0,54.23,0,,10.3,24,
S1,28,20,12.9,12.71,44.3,14.17,10.4,11.4,,53497,5,,,,2,,,,73,,223,220,,,8989,,,8.69,1340,,41.73,,0,0,31.13,0,,17,24,
S1,28,21,12.3,12.46,45,14.4,10.4,11.4,,53497,6,,,,14,,,,70,,294,294,,,9715,,,14.95,1545,,49.32,,0,0,40.77,0,,24,24,
S1,28,22,12.4,13.04,48.5,15.54,10.3,11.4,,53497,6,,,,2,,,,120,,284,284,,,12576,,,20.56,1881,,57.71,,0,0,48.51,0,,23,23,
S1,28,22,12.4,13.04,48.5,15.54,10.3,11.4,,53497,6,,,,2,,,,120,,284,284,,,12576,,,20.56,1881,,57.71,,0,0,48.51,0,,23,23,
S1,28,23,10.6,7.9,41.8,13.4,10.3,11.4,,53497,4,,,,3,,,,17.2,,148,132,,,8983,,,21.17,0,,35.38,,0,0,20.76,0,,12.5,24,
S1,29,24,11.3,12,36.4,11.7,10.2,11.1,,50462,7,,,,0,,,,104,,93,85,,,4778,,,3.13,1240,,18.77,,0,0,6.95,0,,7.5,24,
S1,29,25,11.4,11.68,37.5,12.02,10.2,11.1,,50462,5,,,,2,,,,53,,284,284,,,5148,,,5.52,1029,,36.65,,0,0,26.69,0,,25,25,
S1,29,26,22.2,10.34,70.6,22.6,10.2,11,,0,4,,,,14,,,,14.4,,162,111,,,0,,,1.769911504,0,,32.99,,0,0,5.82,0,,5,24,
S1,29,27,8,12,37.1,11.87,11.2,12,,62672,4,,,,2,,,,73,,40,4,,,5293,,,32.59,880,,18.72,,0,0,0.3,0,,0.5,24,
S1,29,28,12.4,9.88,43.8,14.04,11.2,12,,62672,4,,,,8,,,,38,,74,68,,,10458,,,11.94,0,,23.6,,0,0,11.54,0,,5.5,24,
S1,29,33,18.8,20.14,66.1,21.17,12.2,12.9,,75754,5,,,,2,,,,74,,290,273,,,29178,,,11.08,2534,,81.93,,0,0,71,0,,14.5,24,
S1,29,34,13.1,13.63,44.2,14.14,12.2,12.9,,75754,4,,,,2,,,,42,,314,314,,,8618,,,7.48,942,,45.91,,0,0,38.13,0,,24,24,7.35
S1,29,35,11.4,11.85,37.2,11.9,12.2,12.9,,75754,3,,,,1,,,,59,,228,228,,,5073,,,4.21,0,,33.4,,0,0,24.7,0,,20,24,
S1,29,36,8.7,0,33.2,10.63,0,0,,0,2,,,,10,,,,0,,60,40,,,4062,,,18.18528038,0,,19.88,,0,0,4.5,0,,4.6,24,
S1,29,38,12.7,12.96,43.6,13.97,13.4,14.6,,96563,4,,,,2,,,,1800,,304,304,,,9832,,,9.31,1030,,55.8,,0,0,46.44,0,,24,24,14.1
S1,29,39,12.6,12.96,44,14.1,13.4,14.6,,96563,5,,,,15,,,,2000,,302,302,,,7857,,,10.73,969,,45.96,,0,0,36.74,0,,24,24,
S1,29,40,12.6,12.25,40.6,12.99,13.4,14.6,,96563,5,,,,2,,,,103,,302,302,,,6391,,,3.13,860,,41.52,,0,0,30.63,0,,24,24,
S1,29,41,13,12.75,42.5,13.6,13.3,14.6,,96563,4,,,,2,,,,69,,311,311,,,7298,,,4.75,1015,,43.01,,0,0,33.58,0,,24,24,15.63
S1,29,42,10.8,5,25.7,12.35,13.3,14.6,,96563,3,,,,2,,,,35,,248,238,,,2700,,,12.37,0,,37.56,,0,0,26.2,0,,22,24,71.6
S1,29,44,10.9,11,38,12.18,14.8,15.7,,114603,3,,,,8,,,,31.5,,216,207,,,5572,,,10.53,804,,37.09,,0,0,23.09,0,,19,24,
S1,29,45,10.6,10.64,37.3,11.94,15.4,15.4,,114603,3,,,,4,,,,490,,266,266,,,5174,,,10.91,651,,41.51,,0,0,29.87,0,,25,25,31.44
S1,29,46,11.9,11.17,37.8,12.09,15.4,15.4,,114603,4,,,,2,,,,4300,,285,285,,,5165,,,1.79,585,,40.23,,0,0,27.48,0,,24,24,27.62
S1,29,47,11.7,11.12,37.8,12.1,15.4,15.4,,114603,4,,,,4,,,,3800,,293,293,,,5183,,,3.16,590,,41.75,,0,0,28.59,0,,25,25,27.98
S1,29,48,10.8,11.04,37.8,12.1,15.4,15.4,,114603,2,,,,2,,,,4000,,258,258,,,5176,,,11.17,624,,39.83,,0,0,27.34,0,,24,24,28.56
S1,29,49,11.5,11.17,38.2,12.23,15.4,15.4,,114603,4,,,,5,,,,3800,,276,276,,,5280,,,6,592,,38.49,,0,0,27.71,0,,24,24,27.62
S1,29,50,11.2,11.64,38,12.18,15.4,15.4,,114603,2,,,,13,,,,2700,,280,280,,,5347,,,8.06,640,,40.05,,0,0,29.09,0,,25,25,24.24
