ship_id,VOYAGE,NOON_UTC,AVG_SPEED,SPEED_THROUGH_WATER,ME_AVG_RPM,PROPELLER_SPEED,FORE_DRAFT,AFTER_DRAFT,DISPLACEMENT,CARGO_ON_BOARD,WIND_SCALE,SEA_HEIGHT,SEA_WATER_TEMP,WIND_SPEED,WIND_DIRECTION,SWELL_HEIGHT,SWELL_DIRECTION,SEA_DIRECTION,WATER_DEPTH,MID_DRAFT,TOTAL_DISTANCE,SEA_SPEED_DISTANCE,DIFF_STW_SOG_SLIP,FULL_SPD_STW_SLIP,HORSE_POWER,LOAD_PCT,SFOC,ME_SLIP,THRUST,THRUST_QUOTIENT,TOTAL_CONSUMP,ME_CONSUMPTION,ME_FULLSPEED_CONSUMP_HSHFO,ME_FULLSPEED_CONSUMP_ULSFO,ME_FULLSPEED_CONSUMP_VLSFO,ME_FULLSPEED_CONSUMP_LSMGO,ME_FULLSPEED_CONSUMP_BIO_HSFO,HOURS_FULL_SPEED,HOURS_TOTAL,event_type_code,propeller_condition_code,hull_fouling_type,hull_coating_condition_code,cavitation_code,DAYS_SINCE_LAST_MAINT,DAYS_TO_NEXT_MAINT,LAST_MAINT_TYPE,LAST_MAINT_TYPE_NAME,IS_MAINT_WINDOW,PROPELLER_STATE,HULL_STATE,MAINT_TYPE_PP,MAINT_TYPE_UWI,MAINT_TYPE_UWI+PP,MAINT_TYPE_UWC,MAINT_TYPE_UWC+PP,MAINT_TYPE_DD
S1,28,0,14.4,14.68,51.8,16.61,14.9,15.0,,91791.0,3.0,,,,12.0,,,,20.0,,329.0,317.0,,,13295.0,,,13.23,0.0,,66.05,,0.0,0.0,51.09,0.0,,22.0,24.0,,,,,,1825.0,981.0,,,0,3.0,,0,0,0,0,0,0
S1,28,0,14.4,14.68,51.8,16.61,14.9,15.0,,91791.0,3.0,,,,12.0,,,,20.0,,329.0,317.0,,,13295.0,,,13.2,0.0,,66.05,,0.0,0.0,51.09,0.0,,22.0,24.0,,,,,,1825.0,981.0,,,0,3.0,,0,0,0,0,0,0
S1,28,2,17.8,18.07,63.0,20.18,14.8,14.9,,91661.0,6.0,,,,6.0,,,,225.0,,357.0,351.0,,,23868.0,,,11.71,2337.0,,93.51,,0.0,0.0,80.3,0.0,,19.7,24.0,,,,,,1825.0,979.0,,,0,3.0,,0,0,0,0,0,0
S1,28,2,17.8,18.07,63.0,20.18,14.8,14.9,,91661.0,6.0,,,,6.0,,,,225.0,,357.0,351.0,,,23868.0,,,11.7,2337.0,,93.51,,0.0,0.0,80.3,0.0,,19.7,24.0,,,,,,1825.0,979.0,,,0,3.0,,0,0,0,0,0,0
S1,28,3,17.5,18.25,64.7,20.72,13.6,13.6,,91661.0,3.0,,,,3.0,,,,1200.0,,419.0,419.0,,,26898.0,,,15.75,2280.0,,122.69,,0.0,0.0,111.47,0.0,,24.0,24.0,,,,,,1825.0,978.0,,,0,3.0,,0,0,0,0,0,0
S1,28,3,18.1,18.83,65.1,20.84,13.6,13.6,,91661.0,5.0,,,,1.0,,,,1550.0,,416.0,416.0,,,26633.0,,,13.22,2315.0,,116.23,,0.0,0.0,105.18,0.0,,23.0,23.0,,,,,,1825.0,978.0,,,0,3.0,,0,0,0,0,0,0
S1,28,4,18.3,18.46,64.3,20.61,13.6,13.6,,91661.0,6.0,,,,1.0,,,,4200.0,,438.0,438.0,,,26195.0,,,11.44,2391.0,,119.83,,0.0,0.0,108.75,0.0,,24.0,24.0,,,,,,1825.0,977.0,,,0,3.0,,0,0,0,0,0,0
S1,28,5,18.6,18.87,64.6,20.67,13.6,13.6,,91661.0,6.0,,,,0.0,,,,4200.0,,428.0,428.0,,,26078.0,,,9.99,2316.0,,113.96,,0.0,0.0,103.85,0.0,,23.0,23.0,,,,,,1825.0,976.0,,,0,3.0,,0,0,0,0,0,0
S1,28,6,18.8,18.88,64.3,20.6,13.6,13.6,,91661.0,2.0,,,,6.0,,,,2600.0,,451.0,451.0,,,25636.0,,,8.76,3629.0,,118.26,,0.0,0.0,107.31,0.0,,24.0,24.0,,,,,,1825.0,975.0,,,0,3.0,,0,0,0,0,0,0
S1,28,7,17.4,18.35,62.5,20.01,13.6,13.6,,91661.0,3.0,,,,0.0,,,,3300.0,,400.0,400.0,,,23571.0,,,13.11,1986.0,,105.4,,0.0,0.0,95.11,0.0,,23.0,23.0,,,,,,1825.0,974.0,,,0,3.0,,0,0,0,0,0,0
S1,28,8,17.7,18.09,62.3,19.95,13.6,13.6,,91661.0,3.0,,,,8.0,,,,3800.0,,408.0,408.0,,,23555.0,,,11.06,2133.0,,106.16,,0.0,0.0,95.96,0.0,,23.0,23.0,,,,,,1825.0,973.0,,,0,3.0,,0,0,0,0,0,0
S1,28,9,17.9,17.93,61.2,19.61,13.5,13.5,,91661.0,3.0,,,,2.0,,,,1400.0,,389.0,389.0,,,23302.0,,,8.6,0.0,,100.24,,0.0,0.0,89.04,0.0,,21.7,24.0,,,,,,1825.0,972.0,,,0,3.0,,0,0,0,0,0,0
S1,28,10,14.4,12.18,45.3,14.5,13.5,13.5,,91661.0,6.0,,,,2.0,,,,800.0,,105.0,65.0,,,12116.0,,,0.37,1863.0,,26.36,,0.0,0.0,9.82,0.0,,4.5,23.0,,,,,,1825.0,971.0,,,0,3.0,,0,0,0,0,0,0
S1,28,11,10.4,11.5,41.8,13.39,13.5,13.5,,91661.0,5.0,,,,1.0,,,,86.0,,249.0,249.0,,,9409.0,,,22.49,1463.0,,52.01,,0.0,0.0,40.2,0.0,,24.0,24.0,,,,,,1825.0,970.0,,,0,3.0,,0,0,0,0,0,0
S1,28,12,9.5,9.83,35.2,11.27,13.5,13.5,,91661.0,2.0,,,,3.0,,,,50.0,,228.0,228.0,,,5871.0,,,15.71,1236.0,,40.29,,0.0,0.0,26.49,0.0,,24.0,24.0,,,,,,1825.0,969.0,,,0,3.0,,0,0,0,0,0,0
S1,28,13,10.1,8.4,36.0,11.54,13.5,13.5,,91661.0,3.0,,,,2.0,,,,35.0,,237.0,216.0,,,6977.0,,,12.96,0.0,,45.88,,0.0,0.0,30.63,0.0,,21.5,24.0,,,,,,1825.0,968.0,,,0,3.0,,0,0,0,0,0,0
S1,28,15,18.8,19.57,69.9,22.4,12.0,12.6,,71876.0,6.0,,,,2.0,,,,90.0,,271.0,263.0,,,36283.0,,,16.12,3450.0,,109.1,,0.0,0.0,87.4,0.0,,14.0,24.0,,,,,,1825.0,966.0,,,0,3.0,,0,0,0,0,0,0
S1,28,16,19.6,19.83,70.6,22.62,12.0,12.6,,71876.0,8.0,,,,15.0,,,,2500.0,,471.0,471.0,,,38892.0,,,13.25,3364.0,,162.55,,0.0,0.0,154.21,0.0,,24.0,24.0,,,,,,1825.0,965.0,,,0,3.0,,0,0,0,0,0,0
S1,28,17,18.6,18.79,67.5,21.61,12.0,12.6,,71876.0,5.0,,,,1.0,,,,1100.0,,447.0,447.0,,,33916.0,,,13.81,4280.0,,142.93,,0.0,0.0,134.35,0.0,,24.0,24.0,,,,,,1825.0,964.0,,,0,3.0,,0,0,0,0,0,0
S1,28,18,18.6,18.42,65.6,21.02,12.0,12.6,,71876.0,7.0,,,,2.0,,,,3300.0,,446.0,446.0,,,32723.0,,,11.57,3259.0,,140.54,,0.0,0.0,132.55,0.0,,24.0,24.0,,,,,,1825.0,963.0,,,0,3.0,,0,0,0,0,0,0
S1,28,19,17.5,0.0,60.8,19.47,11.5,11.7,,0.0,2.0,,,,12.0,,,,0.0,,180.0,180.0,,,29106.0,,,10.22955571,0.0,,66.91,,0.0,0.0,54.23,0.0,,10.3,24.0,,,,,,1825.0,962.0,,,0,3.0,,0,0,0,0,0,0
S1,28,20,12.9,12.71,44.3,14.17,10.4,11.4,,53497.0,5.0,,,,2.0,,,,73.0,,223.0,220.0,,,8989.0,,,8.69,1340.0,,41.73,,0.0,0.0,31.13,0.0,,17.0,24.0,,,,,,1825.0,961.0,,,0,3.0,,0,0,0,0,0,0
S1,28,21,12.3,12.46,45.0,14.4,10.4,11.4,,53497.0,6.0,,,,14.0,,,,70.0,,294.0,294.0,,,9715.0,,,14.95,1545.0,,49.32,,0.0,0.0,40.77,0.0,,24.0,24.0,,,,,,1825.0,960.0,,,0,3.0,,0,0,0,0,0,0
