ship_id,VOYAGE,NOON_UTC,AVG_SPEED,SPEED_THROUGH_WATER,ME_AVG_RPM,PROPELLER_SPEED,FORE_DRAFT,AFTER_DRAFT,DISPLACEMENT,CARGO_ON_BOARD,WIND_SCALE,SEA_HEIGHT,SEA_WATER_TEMP,WIND_SPEED,WIND_DIRECTION,SWELL_HEIGHT,SWELL_DIRECTION,SEA_DIRECTION,WATER_DEPTH,MID_DRAFT,TOTAL_DISTANCE,SEA_SPEED_DISTANCE,DIFF_STW_SOG_SLIP,FULL_SPD_STW_SLIP,HORSE_POWER,LOAD_PCT,SFOC,ME_SLIP,THRUST,THRUST_QUOTIENT,TOTAL_CONSUMP,ME_CONSUMPTION,ME_FULLSPEED_CONSUMP_HSHFO,ME_FULLSPEED_CONSUMP_ULSFO,ME_FULLSPEED_CONSUMP_VLSFO,ME_FULLSPEED_CONSUMP_LSMGO,ME_FULLSPEED_CONSUMP_BIO_HSFO,HOURS_FULL_SPEED,HOURS_TOTAL,event_type_code,propeller_condition_code,hull_fouling_type,hull_coating_condition_code,cavitation_code,DAYS_SINCE_LAST_MAINT,DAYS_TO_NEXT_MAINT,LAST_MAINT_TYPE,LAST_MAINT_TYPE_NAME,IS_MAINT_WINDOW,PROPELLER_STATE,HULL_STATE,MAINT_TYPE_PP,MAINT_TYPE_UWI,MAINT_TYPE_UWI+PP,MAINT_TYPE_UWC,MAINT_TYPE_UWC+PP,MAINT_TYPE_DD,DAYS_UNTIL_NEXT_MAINT,IS_MAINT_PRE_WINDOW,IS_MAINT_POST_WINDOW,MAINT_DISTANCE_RATIO,MAINT_FREQUENCY
S21,30,0,16.1,15.92,55.8,17.9,15.43,15.6,,114549.0,4.0,,,,2.0,,,,1217.0,,386.0,386.0,,,16763.0,,,10.15,0.0,,80.96,,0.0,0.0,70.39,0.0,,24.0,24.0,,,,,,1825.0,134.0,,,0,3.0,,0,0,0,0,0,0,134.0,0,0,0.9311224489795918,0
S21,30,1,16.4,16.04,55.8,17.9,15.35,15.5,,114549.0,5.0,,,,3.0,,,,1514.0,,411.0,411.0,,,16160.0,,,8.16,0.0,,82.15,,0.0,0.0,70.97,0.0,,25.0,25.0,,,,,,1825.0,133.0,,,0,3.0,,0,0,0,0,0,0,133.0,0,0,0.9315977539561,0
S21,30,2,16.7,16.04,55.9,17.9,15.4,15.45,,114549.0,5.0,,,,7.0,,,,543.0,,400.0,400.0,,,16211.0,,,6.89,0.0,,79.06,,0.0,0.0,68.35,0.0,,24.0,24.0,,,,,,1825.0,132.0,,,0,3.0,,0,0,0,0,0,0,132.0,0,0,0.932073544433095,0
S21,30,3,16.0,15.68,55.3,17.7,15.35,15.45,,114549.0,3.0,,,,1.0,,,,577.0,,399.2,399.2,,,16024.0,,,9.79,0.0,,81.54,,0.0,0.0,70.37,0.0,,25.0,25.0,,,,,,1825.0,131.0,,,0,3.0,,0,0,0,0,0,0,131.0,0,0,0.9325498211548289,0
S21,30,4,14.1,14.14,49.6,15.9,14.15,15.15,,104816.0,3.0,,,,13.0,,,,865.0,,173.7,156.0,,,11687.0,,,11.61,0.0,,40.48,,0.0,0.0,24.07,0.0,,11.1,24.0,,,,,,1825.0,130.0,,,0,3.0,,0,0,0,0,0,0,130.0,0,0,0.9330265848670757,0
S21,30,5,14.2,13.88,49.8,15.9,14.45,14.95,,104816.0,4.0,,,,15.0,,,,65.0,,355.0,355.0,,,12214.0,,,10.69,0.0,,69.31,,0.0,0.0,56.33,0.0,,25.0,25.0,,,,,,1825.0,129.0,,,0,3.0,,0,0,0,0,0,0,129.0,0,0,0.9335038363171355,0
S21,30,6,12.6,12.07,45.4,14.6,14.45,14.95,,104816.0,4.0,,,,0.0,,,,30.0,,110.5,102.9,,,9513.0,,,14.05,0.0,,28.6,,0.0,0.0,14.79,0.0,,8.2,24.0,,,,,,1825.0,128.0,,,0,3.0,,0,0,0,0,0,0,128.0,0,0,0.9339815762538383,0
S21,30,7,10.8,10.8,37.5,12.0,14.65,14.75,,104816.0,3.0,,,,0.0,,,,910.0,,184.5,81.0,,,5474.0,,,10.0,0.0,,31.21,,0.0,0.0,8.11,0.0,,7.5,24.0,,,,,,1825.0,127.0,,,0,3.0,,0,0,0,0,0,0,127.0,0,0,0.9344598054275474,0
S21,30,8,10.4,10.22,37.9,12.1,14.7,14.75,,104816.0,2.0,,,,12.0,,,,15.7,,64.3,47.0,,,5640.0,,,13.68,0.0,,19.37,,0.0,0.0,5.01,0.0,,4.5,24.0,,,,,,1825.0,126.0,,,0,3.0,,0,0,0,0,0,0,126.0,0,0,0.9349385245901639,0
S21,30,10,16.0,16.38,54.8,17.5,13.3,13.5,,87595.0,4.0,,,,4.0,,,,1215.0,,84.8,75.0,,,16670.0,,,8.81,0.0,,27.04,,0.0,0.0,13.91,0.0,,4.7,24.0,,,,,,1825.0,124.0,,,0,3.0,,0,0,0,0,0,0,124.0,0,0,0.9358974358974359,0
S21,30,11,14.3,14.43,48.5,15.5,13.3,13.5,,87595.0,5.0,,,,5.0,,,,970.0,,328.0,328.0,,,11082.0,,,7.99,0.0,,56.7,,0.0,0.0,47.47,0.0,,23.0,23.0,,,,,,1825.0,123.0,,,0,3.0,,0,0,0,0,0,0,123.0,0,0,0.9363776295536173,0
S21,30,12,11.8,11.46,39.6,12.7,13.35,13.6,,87595.0,4.0,,,,2.0,,,,81.0,,282.0,282.0,,,6744.0,,,7.48,0.0,,42.64,,0.0,0.0,31.87,0.0,,24.0,24.0,,,,,,1825.0,122.0,,,0,3.0,,0,0,0,0,0,0,122.0,0,0,0.936858316221766,0
S21,30,13,10.3,11.3,39.8,12.7,12.65,13.05,,78000.0,1.0,,,,0.0,,,,15.8,,165.1,149.0,,,7585.0,,,19.09,0.0,,34.62,,0.0,0.0,21.37,0.0,,14.5,24.0,,,,,,1825.0,121.0,,,0,3.0,,0,0,0,0,0,0,121.0,0,0,0.9373394966615306,0
S21,30,15,9.7,10.0,37.7,12.1,12.45,12.8,,74412.0,2.0,,,,4.0,,,,18.2,,60.6,33.0,,,5783.0,,,19.79,0.0,,18.77,,0.0,0.0,3.93,0.0,,3.4,24.0,,,,,,1825.0,119.0,,,0,3.0,,0,0,0,0,0,0,119.0,0,0,0.9383033419023136,0
S21,30,17,10.1,10.18,35.8,11.45,12.8,13.1,,79878.0,4.0,,,,3.0,,,,65.0,,168.0,168.0,,,5275.0,,,11.61,0.0,,27.89,,0.0,0.0,17.62,0.0,,16.6,24.0,,,,,,1825.0,117.0,,,0,3.0,,0,0,0,0,0,0,117.0,0,0,0.939269171384457,0
S21,30,18,11.6,12.0,41.1,13.2,12.5,12.8,,75000.0,3.0,,,,1.0,,,,17.0,,123.0,116.4,,,7195.0,,,11.82,0.0,,26.43,,0.0,0.0,14.07,0.0,,10.0,24.0,,,,,,1825.0,116.0,,,0,3.0,,0,0,0,0,0,0,116.0,0,0,0.9397528321318228,0
S21,30,20,10.3,10.9,37.4,12.0,13.3,13.7,,89053.0,3.0,,,,6.0,,,,700.0,,223.3,220.0,,,5204.0,,,14.33,0.0,,35.68,,0.0,0.0,22.41,0.0,,21.4,24.0,,,,,,1825.0,114.0,,,0,3.0,,0,0,0,0,0,0,114.0,0,0,0.9407216494845361,0
S21,30,21,10.3,10.7,37.0,11.8,12.9,13.3,,89053.0,5.0,,,,5.0,,,,2300.0,,247.0,247.0,,,5093.0,,,12.78,0.0,,37.6,,0.0,0.0,24.61,0.0,,24.0,24.0,,,,,,1825.0,113.0,,,0,3.0,,0,0,0,0,0,0,113.0,0,0,0.9412068076328004,0
S21,30,22,9.6,12.2,37.5,12.0,11.7,13.25,,79000.0,2.0,,,,4.0,,,,15.9,,159.0,143.6,,,5221.0,,,20.22,0.0,,30.41,,0.0,0.0,15.77,0.0,,15.0,24.0,,,,,,1825.0,112.0,,,0,3.0,,0,0,0,0,0,0,112.0,0,0,0.9416924664602683,0
S21,30,23,10.4,10.7,38.3,12.3,14.1,14.3,,105823.0,5.0,,,,2.0,,,,490.0,,60.0,55.0,,,5502.0,,,15.63,0.0,,19.8,,0.0,0.0,5.83,0.0,,5.3,24.0,,,,,,1825.0,111.0,,,0,3.0,,0,0,0,0,0,0,111.0,0,0,0.9421786267423852,0
S21,30,24,10.8,11.16,38.1,12.2,14.2,14.3,,105823.0,2.0,,,,2.0,,,,30.0,,271.0,271.0,,,5299.0,,,11.15,0.0,,40.23,,0.0,0.0,26.49,0.0,,25.0,25.0,,,,,,1825.0,110.0,,,0,3.0,,0,0,0,0,0,0,110.0,0,0,0.9426652892561983,0
S21,30,25,10.8,10.8,38.0,12.2,14.2,14.3,,105823.0,1.0,,,,8.0,,,,24.0,,90.0,13.0,,,5293.0,,,11.2,0.0,,25.89,,0.0,0.0,1.27,0.0,,1.2,24.0,,,,,,1825.0,109.0,,,0,3.0,,0,0,0,0,0,0,109.0,0,0,0.9431524547803618,0
