ship,noon_day,voyage,rpm,stw,daily_foc_vlsfo,expected_foc,speed_loss_pct,fuel_type,hours_full_speed,wind_scale,cargo_on_board,load_condition,maintenance_cycle
S1,0.0,28.0,51.8,14.68,55.73,16.0,8.25,VLSFO,22.0,3.0,91791.0,laden,0
S1,0.0,28.0,51.8,14.68,55.73,16.0,8.25,VLSFO,22.0,3.0,91791.0,laden,0
S1,3.0,28.0,64.7,18.25,111.47,19.0,3.95,VLSFO,24.0,3.0,91661.0,laden,0
S1,6.0,28.0,64.3,18.88,107.31,19.0,0.63,VLSFO,24.0,2.0,91661.0,laden,0
S1,7.0,28.0,62.5,18.35,99.25,18.09,-1.44,VLSFO,23.0,3.0,91661.0,laden,0
S1,8.0,28.0,62.3,18.09,100.13,18.09,0.0,VLSFO,23.0,3.0,91661.0,laden,0
S1,12.0,28.0,35.2,9.83,26.49,11.77,16.48,VLSFO,24.0,2.0,91661.0,laden,0
S1,34.0,29.0,44.2,13.63,38.13,13.29,-2.56,VLSFO,24.0,4.0,75754.0,laden,0
S1,38.0,29.0,43.6,12.96,46.44,13.29,2.48,VLSFO,24.0,4.0,96563.0,laden,0
S1,41.0,29.0,42.5,12.75,33.58,13.29,4.06,VLSFO,24.0,4.0,96563.0,laden,0
S1,45.0,29.0,37.3,10.64,28.68,11.77,9.6,VLSFO,25.0,3.0,114603.0,laden,0
S1,46.0,29.0,37.8,11.17,27.48,11.77,5.1,VLSFO,24.0,4.0,114603.0,laden,0
S1,47.0,29.0,37.8,11.12,27.45,11.77,5.52,VLSFO,25.0,4.0,114603.0,laden,0
S1,48.0,29.0,37.8,11.04,27.34,11.77,6.2,VLSFO,24.0,2.0,114603.0,laden,0
S1,49.0,29.0,38.2,11.17,27.71,11.77,5.1,VLSFO,24.0,4.0,114603.0,laden,0
S1,50.0,29.0,38.0,11.64,27.93,11.77,1.1,VLSFO,25.0,2.0,114603.0,laden,0
S1,51.0,29.0,38.3,11.08,27.87,11.77,5.86,VLSFO,24.0,3.0,114603.0,laden,0
S1,52.0,29.0,38.3,11.21,27.94,11.77,4.76,VLSFO,24.0,3.0,114603.0,laden,0
S1,53.0,29.0,38.7,11.44,28.52,11.77,2.8,VLSFO,25.0,4.0,114603.0,laden,0
S1,54.0,29.0,41.9,12.42,32.06,12.42,0.0,VLSFO,24.0,1.0,114603.0,laden,0
S1,55.0,29.0,43.8,12.79,36.63,13.29,3.76,VLSFO,24.0,2.0,114603.0,laden,0
S1,56.0,29.0,45.2,13.17,39.01,14.13,6.79,VLSFO,24.0,4.0,114603.0,laden,0
S1,67.0,29.0,56.5,16.73,74.86,17.21,2.79,VLSFO,22.0,4.0,86539.0,laden,0
S1,68.0,29.0,48.6,14.74,51.82,14.92,1.21,VLSFO,23.0,3.0,86539.0,laden,0
S1,77.0,29.0,38.0,11.54,30.2,11.77,1.95,VLSFO,24.0,4.0,92524.0,laden,0
S1,78.0,29.0,37.8,9.63,24.85,11.77,18.18,VLSFO,24.0,3.0,92524.0,laden,0
S1,92.0,29.0,63.1,16.75,93.55,19.0,11.84,VLSFO,24.0,4.0,108109.0,laden,0
S1,92.0,29.0,65.4,18.91,105.16,19.0,0.47,VLSFO,23.0,3.0,108109.0,laden,0
S1,93.0,29.0,64.6,18.79,102.49,19.0,1.11,VLSFO,24.0,2.0,108109.0,laden,0
S1,95.0,29.0,63.2,18.33,97.04,19.0,3.53,VLSFO,24.0,3.0,108109.0,laden,0
S1,96.0,29.0,61.6,17.96,90.48,18.09,0.72,VLSFO,23.0,3.0,108109.0,laden,0
S1,97.0,29.0,61.0,17.7,89.45,18.09,2.16,VLSFO,23.0,2.0,108109.0,laden,0
S1,98.0,29.0,61.9,17.91,92.72,18.09,1.0,VLSFO,23.0,4.0,108109.0,laden,0
