ship_id,NOON_UTC,RPM,V_actual,V_ref,speed_loss_pct
S22,3,63.8,18.0,18.385256232932587,2.0954629516802536
S22,4,62.6,18.96,18.07795545625422,-4.879116700338095
S22,6,53.8,15.22,15.824416427279502,3.8195179585741674
S22,8,61.5,20.32,17.79626307763238,-14.181274525771851
S22,17,60.5,18.94,17.54017909706707,-7.980653419707654
S22,18,61.1,18.08,17.693829485406255,-2.18251518085587
S22,19,60.3,17.75,17.488962300954007,-1.4925854064637856
S22,20,61.5,17.84,17.79626307763238,-0.24576464270520418
S22,21,60.7,17.84,17.59139589318013,-1.413214211819587
S22,22,60.6,17.79,17.5657874951236,-1.276415901869707
S22,23,60.2,17.92,17.463353902897477,-2.614881995987946
S22,24,60.5,18.16,17.54017909706707,-3.5337204911241225
S22,25,60.3,17.87,17.488962300954007,-2.1787324627328424
S22,26,58.9,17.56,17.130444728162576,-2.5075546995649827
S22,27,58.0,16.92,16.8999691456538,-0.11852598175514577
S22,28,56.4,16.5,16.490234776749304,-0.05921821843594732
S22,29,64.0,18.02,18.43647302904565,2.258962592191688
S22,30,57.9,16.52,16.87436074759727,2.099995092541366
S22,31,57.7,16.0,16.823143951484205,4.892925804225697
S22,32,57.5,16.42,16.771927155371145,2.0983107791428735
S22,33,56.3,16.52,16.464626378692774,-0.33631872375121585
S22,34,56.2,15.37,16.439017980636244,6.502930904360932
S22,35,57.5,15.36,16.771927155371145,8.41839546696923
S22,51,49.9,15.62,14.825688903074798,-5.357667371264369
S22,66,58.6,18.02,17.053619533992983,-5.666717637746817
S22,67,61.3,18.61,17.745046281519315,-4.87433903951829
S22,68,61.3,18.21,17.745046281519315,-2.620188818357238
S22,69,60.9,18.04,17.642612689293195,-2.2524289214146136
S22,70,60.9,18.17,17.642612689293195,-2.989281236258525
S22,71,61.4,18.09,17.77065467957585,-1.7970374540628549
S22,72,61.5,17.67,17.79626307763238,0.7094920831501601
S22,73,62.3,17.87,18.001130262084626,0.7284557145882199
S22,74,62.9,18.65,18.15478065042381,-2.7277627811197402
S22,75,63.1,18.92,18.205997446536873,-3.9217986026848823
S22,76,61.4,18.87,17.77065467957585,-6.186296117090447
S22,77,60.5,18.39,17.54017909706707,-4.844995585450036
S22,77,60.5,18.39,17.54017909706707,-4.844995585450036
S22,78,60.7,18.35,17.59139589318013,-4.312358788502779
S22,79,61.8,18.86,17.87308827180197,-5.521775046313975
S22,80,61.5,18.42,17.79626307763238,-3.5048758250353167
S22,81,62.3,17.51,18.001130262084626,2.7283301377974074
S22,82,62.5,18.55,18.05234705819769,-2.756721550931649
S22,83,61.8,18.54,17.87308827180197,-3.7313737729936944
S22,84,61.6,17.91,17.82187147568891,-0.4944964642535388
S22,85,62.2,18.58,17.975521864028096,-3.3627849057420702
S22,86,61.2,18.04,17.71943788346279,-1.8090986782170175
S22,87,59.3,17.46,17.2328783203887,-1.3179555695149714
S22,88,60.7,18.04,17.59139589318013,-2.5501336536561254
S22,89,59.5,18.09,17.28409511650176,-4.6626964157864
S22,93,57.4,17.16,16.74631875731461,-2.470281670141368
S22,94,57.1,17.0,16.66949356314502,-1.9827023274762416
S22,95,56.8,16.33,16.592668368975428,1.583038744187526
S22,96,55.1,15.71,16.157325602014403,2.7685621558473272
S22,97,54.4,16.38,15.978066815618687,-2.5155307523712365
S22,98,57.1,16.7,16.66949356314502,-0.18300758052077418
S22,101,54.2,16.5,15.926850019505626,-3.5986399055207854
S22,111,56.9,17.89,16.618276767031958,-7.6525577880068845
S22,112,60.7,17.96,17.59139589318013,-2.095365876921518
S22,113,60.2,17.08,17.463353902897477,2.1951905975740083
S22,114,60.0,17.16,17.412137106784417,1.4480537640963964
S22,115,59.7,17.13,17.335311912614824,1.1843566106556185
S22,116,59.3,17.02,17.2328783203887,1.2353033337259631
S22,117,59.4,17.37,17.25848671844523,-0.6461359177893029
S22,118,58.7,17.22,17.079227932049516,-0.8242296929963742
S22,119,58.0,16.96,16.8999691456538,-0.3552128044070441
S22,120,57.9,17.66,16.87436074759727,-4.655816384123458
S22,121,57.3,16.63,16.72071035925808,0.5425030235504145
S22,122,58.1,16.56,16.92557754371033,2.159911783017304
S22,123,57.0,16.48,16.64388516508849,0.9846569083055772
S22,124,61.8,18.45,17.87308827180197,-3.227823414872366
S22,125,62.9,18.48,18.15478065042381,-1.7913703053669163
S22,126,63.1,17.84,18.205997446536873,2.010312522626949
S22,127,63.8,18.68,18.385256232932587,-1.6031528923673792
S22,128,64.9,18.75,18.666948611554428,-0.4449114323599999
S22,129,63.8,17.52,18.385256232932587,4.706250606302116
S22,130,62.5,17.66,18.05234705819769,2.1733853051507888
S22,131,57.8,16.16,16.848752349540735,4.087853719088637
S22,150,49.2,1.94,14.646430116679083,86.75445153156629
S22,155,60.7,18.5,17.59139589318013,-5.165048369880178
S22,156,52.4,17.1,15.46589885448807,-10.565833650449154
S22,160,59.4,17.8,17.25848671844523,-3.13766374995104
S22,161,61.9,18.0,17.898696669858502,-0.5659816019570474
S22,162,60.1,17.9,17.437745504840947,-2.6508845138881245
S22,163,60.1,17.0,17.437745504840947,2.510333143234734
S22,164,59.9,17.9,17.386528708727884,-2.9532708907808423
S22,165,59.8,17.6,17.360920310671354,-1.377114145162518
S22,166,60.2,17.5,17.463353902897477,-0.20984569920696858
S22,167,60.1,18.2,17.437745504840947,-4.37129039959575
S22,168,60.3,18.0,17.488962300954007,-2.9220584403576417
S22,169,59.1,17.1,17.18166152427564,0.4752830461725744
S22,170,58.1,17.3,16.92557754371033,-2.212169453731935
S22,171,57.6,17.4,16.797535553427675,-3.5866240297933802
S22,173,56.8,18.1,16.592668368975428,-9.084323253533748
S22,174,60.5,17.8,17.54017909706707,-1.4812899087009601
S22,174,60.5,17.8,17.54017909706707,-1.4812899087009601
S22,175,60.1,17.9,17.437745504840947,-2.6508845138881245
S22,176,59.6,17.6,17.309703514558294,-1.677073701450487
S22,177,60.1,17.5,17.437745504840947,-0.35700999961130303
S22,178,59.7,17.6,17.335311912614824,-1.5268723673357474
S22,179,60.1,17.6,17.437745504840947,-0.9304786281805186
S22,180,60.3,17.7,17.488962300954007,-1.2066907996850105
S22,185,56.9,17.0,16.618276767031958,-2.297008518508495
S22,186,56.9,16.9,16.618276767031958,-1.6952614095760838
S22,189,59.8,19.7,17.360920310671354,-13.47324708293758
S22,190,63.7,19.5,18.35964783487606,-6.211187574947499
S22,191,62.5,18.6,18.05234705819769,-3.033693846217183
S22,192,53.0,17.1,15.619549242827254,-9.47819129833464
S22,213,58.0,18.4,16.8999691456538,-8.875938419875553
S22,214,64.9,19.0,18.666948611554428,-1.7841769181248
S22,215,64.8,18.2,18.641340213497898,2.3675347826028696
S22,216,65.0,17.4,18.692557009610958,6.9148218135505966
S22,217,65.0,17.9,18.692557009610958,4.239960371411245
S22,218,63.6,17.0,18.334039436819527,7.276298501575318
S22,219,60.3,15.6,17.488962300954007,10.800882685023378
S22,220,60.8,14.7,17.61700429123666,16.557890564218606
S22,221,61.0,16.5,17.668221087349725,6.611990429450533
S22,222,59.3,18.1,17.2328783203887,-5.031786701501777
S22,223,58.7,17.2,17.079227932049516,-0.7071283809255329
S22,224,56.7,17.3,16.567059970918898,-4.424080255444685
S22,226,56.9,17.8,16.618276767031958,-7.1109853899677224
S22,227,62.1,18.0,17.949913465971562,-0.27903496093944413
S22,228,62.4,17.5,18.026738660141156,2.921985335627156
